"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Aug-2024","EQ","317.95","322.20","315.00","326.25","317.15","317.05","317.63","394.70","204.25","1,67,51,766","5,32,07,84,369.15","2,85,258"
"02-Aug-2024","EQ","325.95","328.25","324.55","328.70","326.30","326.25","326.72","394.70","204.25","72,84,359","2,37,99,34,566.95","1,19,359"
"01-Aug-2024","EQ","329.00","332.90","328.25","328.50","328.70","328.70","330.70","394.70","204.25","1,31,37,038","4,34,44,29,790.70","1,54,051"
"31-Jul-2024","EQ","329.35","331.25","327.50","329.35","328.20","328.50","329.25","394.70","204.25","1,24,02,209","4,08,33,91,088.50","1,69,681"
"30-Jul-2024","EQ","331.00","331.75","329.10","330.20","329.30","329.35","330.10","394.70","204.25","87,05,901","2,87,38,02,772.30","1,33,892"
"29-Jul-2024","EQ","334.50","335.20","329.50","331.90","330.60","330.20","331.98","394.70","204.25","1,26,28,377","4,19,23,20,825.00","1,85,589"
"26-Jul-2024","EQ","329.85","336.65","329.55","329.20","331.95","331.90","333.20","394.70","204.25","96,88,122","3,22,80,81,964.80","1,18,918"
"25-Jul-2024","EQ","333.00","333.65","328.00","334.70","329.05","329.20","330.63","394.70","204.25","1,22,01,643","4,03,41,97,139.95","1,49,083"
"24-Jul-2024","EQ","335.25","339.00","334.60","334.90","334.95","334.70","336.15","394.70","204.25","87,29,363","2,93,43,45,297.50","1,07,342"
"23-Jul-2024","EQ","342.00","342.00","326.00","340.95","335.20","334.90","335.85","394.70","204.25","1,38,63,332","4,65,59,98,309.45","2,00,701"
"22-Jul-2024","EQ","338.75","343.00","334.30","338.75","341.00","340.95","339.66","394.70","204.25","1,22,79,130","4,17,07,63,546.55","1,58,860"
"19-Jul-2024","EQ","337.05","342.00","332.05","337.00","338.15","338.75","337.24","394.70","204.25","1,53,49,322","5,17,63,98,202.40","2,01,523"
"18-Jul-2024","EQ","345.60","346.15","336.00","344.25","337.00","337.00","338.38","394.70","204.25","2,51,88,963","8,52,33,66,848.10","3,68,889"
"16-Jul-2024","EQ","350.00","350.35","343.10","355.40","344.80","344.25","346.52","394.70","204.25","2,50,05,251","8,66,48,49,584.40","2,98,259"
"15-Jul-2024","EQ","354.30","356.70","351.70","350.35","355.70","355.40","353.94","394.70","204.25","1,54,88,346","5,48,19,89,499.05","1,34,397"
"12-Jul-2024","EQ","354.50","356.40","350.00","348.05","350.80","350.35","352.21","394.70","204.25","1,63,27,807","5,75,08,17,858.90","1,48,870"
"11-Jul-2024","EQ","349.50","351.35","347.00","347.95","348.20","348.05","348.32","394.70","204.25","80,45,640","2,80,24,91,269.00","1,07,885"
"10-Jul-2024","EQ","350.40","350.90","344.10","349.85","348.00","347.95","348.23","394.70","204.25","1,15,56,794","4,02,43,64,595.90","1,21,295"
"09-Jul-2024","EQ","349.10","353.70","348.55","348.30","349.50","349.85","351.05","394.70","204.25","89,08,509","3,12,73,63,816.70","1,06,222"
"08-Jul-2024","EQ","353.00","353.55","347.20","352.75","348.50","348.30","350.28","394.70","204.25","1,15,25,948","4,03,73,01,982.05","1,47,862"
"05-Jul-2024","EQ","350.85","354.80","349.10","350.85","353.00","352.75","351.15","394.70","204.25","1,55,13,571","5,44,75,32,583.50","1,44,289"
"04-Jul-2024","EQ","352.00","356.85","350.30","351.30","351.20","350.85","352.92","394.70","204.25","1,19,44,846","4,21,56,08,337.70","1,24,914"
"03-Jul-2024","EQ","353.00","356.40","349.70","351.00","351.30","351.30","351.84","394.70","204.25","1,21,02,104","4,25,80,43,509.20","1,23,270"
"02-Jul-2024","EQ","353.20","355.45","350.00","352.80","350.85","351.00","352.40","394.70","204.25","1,21,46,516","4,28,04,67,328.20","1,51,044"
"01-Jul-2024","EQ","358.15","358.40","352.05","358.15","352.85","352.80","353.76","394.70","204.25","1,56,88,767","5,55,01,16,362.00","1,93,524"
"28-Jun-2024","EQ","357.00","362.00","355.40","353.60","357.95","358.15","358.43","394.70","204.25","2,34,11,225","8,39,13,44,731.25","2,10,998"
"27-Jun-2024","EQ","356.25","358.40","348.00","356.25","353.35","353.60","353.86","394.70","204.25","1,86,89,181","6,61,33,71,855.90","1,68,103"
"26-Jun-2024","EQ","358.95","359.70","353.15","359.05","355.65","356.25","355.65","394.70","204.25","2,72,06,818","9,67,59,72,563.15","1,74,159"
"25-Jun-2024","EQ","356.95","362.50","356.25","355.35","358.95","359.05","359.24","394.70","204.25","1,32,12,387","4,74,64,10,393.90","1,13,911"
"24-Jun-2024","EQ","356.00","356.40","352.30","360.90","355.90","355.35","354.98","394.70","204.25","1,68,58,520","5,98,45,03,380.15","1,62,851"
"21-Jun-2024","EQ","366.00","366.80","359.15","365.55","360.70","360.90","362.64","394.70","204.25","2,10,75,778","7,64,29,26,137.75","2,12,016"
"20-Jun-2024","EQ","358.90","368.30","358.00","358.30","365.50","365.55","364.45","394.70","204.25","3,35,75,312","12,23,64,21,706.05","2,17,632"
"19-Jun-2024","EQ","363.95","363.95","357.05","363.20","358.70","358.30","359.81","394.70","204.25","1,57,17,813","5,65,54,12,620.65","1,56,043"
"18-Jun-2024","EQ","358.75","365.00","357.60","357.00","363.25","363.20","362.79","394.70","204.25","2,26,66,205","8,22,30,81,877.05","1,84,337"
"14-Jun-2024","EQ","362.00","362.75","356.10","360.80","357.95","357.00","358.29","394.70","204.25","1,98,58,187","7,11,49,82,960.95","1,57,173"
"13-Jun-2024","EQ","365.00","366.40","358.20","360.95","361.40","360.80","362.11","394.70","204.25","2,74,24,843","9,93,08,91,420.60","2,02,808"
"12-Jun-2024","EQ","351.95","363.50","351.55","350.25","363.20","360.95","357.18","394.70","204.25","2,99,97,548","10,71,46,40,895.15","2,58,141"
"11-Jun-2024","EQ","351.75","354.50","349.55","350.35","350.40","350.25","351.97","394.70","204.25","1,27,62,033","4,49,18,75,273.25","1,09,459"
"10-Jun-2024","EQ","355.25","357.35","348.70","353.15","350.95","350.35","352.99","394.70","204.25","1,56,70,416","5,53,15,06,677.55","1,38,646"
"07-Jun-2024","EQ","349.70","355.35","347.00","349.40","354.15","353.15","351.95","394.70","204.25","2,26,68,347","7,97,81,22,416.00","2,55,281"
"06-Jun-2024","EQ","350.00","352.80","348.05","345.60","350.00","349.40","349.93","394.70","204.25","1,62,46,617","5,68,51,80,154.60","2,29,508"
"05-Jun-2024","EQ","339.00","347.90","327.00","332.95","347.30","345.60","341.84","394.70","204.25","2,47,85,002","8,47,24,37,904.60","2,76,658"
"04-Jun-2024","EQ","358.00","358.00","307.30","356.10","337.90","332.95","336.41","394.70","204.25","5,92,11,461","19,91,93,79,804.85","7,66,035"
"03-Jun-2024","EQ","368.00","368.00","353.80","344.35","356.75","356.10","356.55","394.70","204.25","2,40,58,623","8,57,80,42,999.45","2,72,837"
"31-May-2024","EQ","355.05","357.90","342.10","347.75","345.00","344.35","345.92","394.70","204.25","3,42,13,953","11,83,52,20,098.40","3,09,177"
"30-May-2024","EQ","348.75","351.50","346.50","349.20","348.00","347.75","348.92","394.70","204.25","98,73,346","3,44,50,45,175.85","1,24,739"
"29-May-2024","EQ","355.00","356.15","348.10","356.85","349.60","349.20","351.00","394.70","204.25","1,51,41,731","5,31,47,84,769.35","1,74,529"
"28-May-2024","EQ","361.00","363.75","355.25","360.05","356.90","356.85","358.03","394.70","204.25","92,28,162","3,30,39,18,125.65","1,11,107"
"27-May-2024","EQ","368.00","368.60","359.15","365.40","360.00","360.05","361.96","394.70","204.25","1,59,55,078","5,77,50,38,305.60","1,79,161"
"24-May-2024","EQ","368.50","370.70","364.20","367.75","365.25","365.40","366.97","394.70","204.25","1,85,01,102","6,78,93,60,870.40","1,58,447"
"23-May-2024","EQ","357.65","376.00","357.40","357.65","367.90","367.75","367.62","394.70","204.25","3,75,24,603","13,79,49,33,145.40","2,72,316"
"22-May-2024","EQ","359.00","360.70","355.20","357.75","357.40","357.65","358.24","394.70","204.25","1,20,42,414","4,31,41,23,760.90","1,26,980"
"21-May-2024","EQ","361.00","362.20","355.75","362.20","357.80","357.75","358.67","394.70","204.25","1,17,92,817","4,22,96,94,428.05","1,41,506"
"18-May-2024","EQ","358.00","363.70","357.70","357.20","362.20","362.20","361.74","394.70","204.25","43,11,952","1,55,97,98,927.85","45,083"
"17-May-2024","EQ","357.00","358.40","355.00","355.05","357.85","357.20","356.82","394.70","204.25","88,15,474","3,14,55,80,045.40","1,00,539"
"16-May-2024","EQ","356.40","359.15","352.40","353.85","355.00","355.05","355.30","394.70","204.25","1,22,90,684","4,36,68,28,102.70","1,20,908"
"15-May-2024","EQ","354.05","358.80","351.30","352.45","354.50","353.85","355.02","394.70","204.25","1,68,60,136","5,98,56,70,917.85","1,63,422"
"14-May-2024","EQ","344.00","353.70","342.20","341.35","353.40","352.45","349.43","394.70","204.25","1,96,46,171","6,86,49,74,640.40","2,21,550"
"13-May-2024","EQ","347.85","347.90","335.40","347.85","341.95","341.35","340.71","394.70","204.25","2,06,74,537","7,04,39,91,274.45","2,69,503"
"10-May-2024","EQ","346.40","349.00","336.80","345.40","347.45","347.85","343.66","394.70","204.25","2,44,50,324","8,40,26,56,579.40","3,13,925"
"09-May-2024","EQ","357.00","359.25","344.60","355.20","345.80","345.40","349.94","394.70","204.25","2,32,09,803","8,12,20,47,466.95","3,16,353"
"08-May-2024","EQ","355.00","363.80","352.10","356.25","355.50","355.20","358.33","394.70","204.25","2,00,22,506","7,17,46,61,345.90","2,19,780"
"07-May-2024","EQ","370.25","370.70","353.60","370.25","356.90","356.25","358.81","394.70","204.25","2,94,99,389","10,58,46,74,399.70","4,16,357"
"06-May-2024","EQ","378.10","378.90","367.80","375.90","371.00","370.25","371.92","394.70","204.25","1,39,90,739","5,20,34,16,069.40","2,00,081"
"03-May-2024","EQ","380.55","385.85","374.35","379.65","375.80","375.90","379.64","394.70","204.25","2,18,62,922","8,30,01,04,583.40","2,04,926"
"02-May-2024","EQ","377.00","381.35","372.50","377.00","379.95","379.65","376.67","394.70","204.25","1,96,58,857","7,40,49,67,604.30","2,03,476"
"30-Apr-2024","EQ","380.50","383.80","375.50","380.50","375.75","377.00","379.46","394.70","204.25","1,68,44,939","6,39,19,44,497.65","2,11,494"
"29-Apr-2024","EQ","383.60","384.75","378.05","381.75","380.90","380.50","380.56","394.70","204.25","1,61,36,167","6,14,08,22,351.90","1,92,203"
"26-Apr-2024","EQ","384.30","384.85","380.55","382.30","382.00","381.75","382.18","394.70","204.25","1,41,31,318","5,40,06,46,328.55","1,56,663"
"25-Apr-2024","EQ","381.85","387.35","380.25","381.85","382.50","382.30","383.72","394.70","204.25","1,70,43,110","6,53,97,98,534.10","1,46,755"
"24-Apr-2024","EQ","390.70","391.50","379.50","387.95","383.00","381.85","383.68","394.70","204.25","2,76,60,953","10,61,29,47,475.60","2,39,829"
"23-Apr-2024","EQ","387.00","394.70","385.00","382.70","387.60","387.95","389.96","394.70","204.25","3,55,50,933","13,86,33,40,411.40","2,62,501"
