"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Oct-2024","EQ","577.70","585.55","573.35","580.30","578.00","576.80","579.15","634.90","447.80","30,35,568","1,75,80,39,218.35","62,653"
"07-Oct-2024","EQ","602.40","605.50","576.00","599.30","580.50","580.30","583.56","634.90","447.80","33,93,703","1,98,04,18,903.05","84,449"
"04-Oct-2024","EQ","608.90","612.95","596.60","605.45","600.65","599.30","604.04","634.90","447.80","17,80,533","1,07,55,07,438.30","62,849"
"03-Oct-2024","EQ","618.80","623.70","601.00","621.20","605.05","605.45","614.99","634.90","447.80","21,81,886","1,34,18,28,491.35","53,851"
"01-Oct-2024","EQ","612.00","625.00","610.80","613.15","621.90","621.20","621.10","634.90","447.80","23,17,620","1,43,94,79,338.55","67,639"
"30-Sep-2024","EQ","610.65","617.90","607.65","610.65","612.00","613.15","612.88","634.90","447.80","16,86,660","1,03,37,27,591.50","45,589"
"27-Sep-2024","EQ","601.10","616.50","600.00","601.10","610.10","610.65","611.08","634.90","447.80","18,93,789","1,15,72,55,789.55","44,452"
"26-Sep-2024","EQ","602.00","604.15","593.60","599.55","602.40","601.10","596.45","634.90","447.80","19,48,570","1,16,22,29,106.65","39,160"
"25-Sep-2024","EQ","600.10","606.45","597.10","603.75","599.75","599.55","600.91","634.90","447.80","21,93,166","1,31,78,87,401.40","66,305"
"24-Sep-2024","EQ","593.80","606.75","587.00","592.80","602.50","603.75","601.91","634.90","447.80","23,01,515","1,38,52,94,118.15","48,599"
"23-Sep-2024","EQ","589.40","593.75","584.05","587.10","593.40","592.80","589.89","634.90","447.80","21,06,715","1,24,27,21,103.30","47,863"
"20-Sep-2024","EQ","594.95","602.70","585.60","594.80","590.00","587.10","590.73","639.05","447.80","57,17,560","3,37,75,55,685.95","67,221"
"19-Sep-2024","EQ","605.10","612.75","582.55","605.10","594.50","594.80","593.21","639.05","447.80","27,21,915","1,61,46,71,978.80","55,710"
"18-Sep-2024","EQ","610.90","614.75","598.95","610.65","604.90","605.10","604.72","639.05","447.80","17,28,906","1,04,55,05,029.40","37,110"
"17-Sep-2024","EQ","615.00","615.80","609.30","613.80","610.00","610.65","611.83","639.05","447.80","11,65,443","71,30,52,823.10","48,928"
"16-Sep-2024","EQ","614.90","615.50","606.70","611.40","613.70","613.80","612.54","639.05","447.80","11,86,044","72,65,04,134.75","52,265"
"13-Sep-2024","EQ","616.00","616.95","610.25","614.85","611.10","611.40","612.89","639.05","447.80","12,37,013","75,81,52,288.90","42,940"
"12-Sep-2024","EQ","614.00","616.45","608.70","611.00","614.00","614.85","613.23","639.05","447.80","17,07,391","1,04,70,26,694.10","49,055"
"11-Sep-2024","EQ","618.80","619.10","609.00","619.20","610.75","611.00","613.38","639.05","447.80","14,21,907","87,21,63,130.60","63,220"
"10-Sep-2024","EQ","609.90","620.00","605.25","604.40","618.90","619.20","615.63","639.05","447.80","16,38,324","1,00,85,95,676.80","55,140"
"09-Sep-2024","EQ","606.00","610.80","601.10","609.80","605.00","604.40","605.13","639.05","447.80","23,34,227","1,41,25,19,136.45","61,574"
"06-Sep-2024","EQ","616.95","623.70","607.25","618.70","610.80","609.80","615.23","639.05","447.80","35,69,845","2,19,62,74,258.00","59,947"
"05-Sep-2024","EQ","612.00","622.95","606.80","607.85","618.45","618.70","616.47","639.05","447.80","34,31,993","2,11,57,24,514.15","70,792"
